Date,Adj Close,Volume,Close_-1,Delta,Delta_Class_Numeric,Close_-1_Delta,AVG_Weighted_Future_Return,Gain_Run,Gain_Loss,7-Day_Delta_AVG,30-Day_Delta_AVG,7-Day_High,30-Day_High,365-Day_High,7-Day_Low,30-Day_Low,365-Day_Low,Diff_from_7-Day_High,Diff_from_7-Day_Low,7-Day_AVG_Price,30-Day_AVG_Price,50-Day_AVG_Price,100-Day_AVG_Price,7-Day_AG_to_30-Day_AVG,30-Day_AG_to_50-Day_AVG,50-Day_AG_to_100-Day_AVG,7_to_30_5-Day_AVG,30_to_50_5-Day_AVG,50_to_100_5-Day_AVG,Year,Month
2021-12-27,50640.417969,24324345758,50809.515625,-0.0033280706166936244,0.0,0.007528401917142963,-0.0624992064547626,0.0,0.0,0.012309140403621079,-0.0012351175212121294,50822.195313,57806.56640599999,67566.828125,46880.277344,46202.144531,26272.294922,-0.0002494911509018019,0.08381431389937978,49613.07310285716,50529.21523446669,54726.787031379936,54678.52757823996,-0.018130939246897623,-0.07670049759190849,0.0008826033779150102,-0.04656469530311216,-0.07800082168172837,0.009966611949362148,2021,12
2021-12-26,50809.515625,20964372926,50429.859375,0.007528401917142963,1.0,-0.007719775495405242,-0.03663107211327603,0.0,0.0,0.010801376877152925,-0.0036422899366075645,50822.195313,57806.56640599999,67566.828125,46707.015625,46202.144531,26272.294922,-0.007719775495405242,0.07970630750399181,49027.00167428573,50621.22356780002,54941.146328259936,54643.10761729997,-0.03149315210405872,-0.07862818760004443,0.005454278205539136,-0.058719802017996835,-0.07836817839808938,0.014877429056309871,2021,12
2021-12-25,50429.859375,19030650914,50822.195313,-0.007719775495405242,0.0,0.0007414904357660135,-0.018831717380730837,0.0,0.0,0.013903592172785263,-0.00279609510718046,50822.195313,57806.56640599999,67566.828125,46707.015625,46202.144531,24664.791016,0.0,0.08810624341833008,48515.418527000016,50849.384244900015,55155.06265637994,54616.64261729996,-0.04589958664315755,-0.07806497181055914,0.009858168010302199,-0.0706434689240896,-0.07797930599947421,0.01986796786123533,2021,12
2021-12-24,50822.195313,24367912228,50784.539063,0.0007414904357660135,1.0,0.044336691948513765,-0.014318216657474053,0.0,0.0,0.00941209250826114,-0.0035669576892123477,50784.539063,57806.56640599999,67566.828125,46202.144531,46202.144531,23735.949219,0.0,0.09918142498613618,47855.41127242859,51031.32526050002,55367.66335949994,54590.18414072997,-0.06223459751161314,-0.0783189651845022,0.014242106543653944,-0.08124977348423809,-0.07713390638747182,0.02510152589180863,2021,12
2021-12-23,50784.539063,28223878108,48628.511719,0.044336691948513765,1.0,-0.006295931437487091,-0.0057001923447781285,0.0,0.0,-0.0005190896126618641,-0.004286985562736806,48936.613281,57806.56640599999,67566.828125,46202.144531,46202.144531,23241.345703,-0.006295931437487091,0.05251633257785247,47409.823660714304,51257.47643236669,55611.373515739935,54553.26367197997,-0.07506520100983304,-0.07829148622162592,0.019395903609401074,-0.08805080789077034,-0.07588801691745366,0.030642895864478926,2021,12
2021-12-22,48628.511719,24447979559,48936.613281,-0.006295931437487091,0.0,0.04386356168311315,0.041852223238096835,0.0,0.0,0.007380546257823639,-0.005462652534691534,48936.613281,57806.56640599999,67566.828125,46202.144531,46202.144531,23241.345703,0.0,0.059184888012400995,47448.13950885716,51512.83567716669,55903.33132823993,54516.60929697997,-0.07890647282132102,-0.07853728117371347,0.02543668891265363,-0.09207796419666728,-0.07446869287888938,0.036300830611492946,2021,12
2021-12-21,48936.613281,27055803928,46880.277344,0.04386356168311315,1.0,0.003709543773703737,0.011608974726916226,0.0,0.0,0.0007327155243601237,-0.007464561412834917,48896.722656,58730.476563,67566.828125,46202.144531,46202.144531,22803.082031,-0.04123886433424517,0.014677518108385657,47116.14229914288,51839.29778656668,56144.68718761994,54487.87585947997,-0.09111148663452258,-0.07668382560696863,0.03040697223016644,-0.09637887104738474,-0.07228743350889714,0.04181424546088044,2021,12
2021-12-20,46880.277344,30961902129,46707.015625,0.003709543773703737,1.0,-0.003025942768134109,0.0588741884086409,0.0,0.0,-0.009380815259636355,-0.006683401768772139,48896.722656,59697.195313,67566.828125,46202.144531,46202.144531,22803.082031,-0.04478228625679281,0.010927438523145854,47095.74274557144,52266.52838553335,56433.460781359936,54471.08765634998,-0.09893110944389999,-0.07383797375054718,0.0360259581631687,-0.09962630906795629,-0.06973030912845492,0.04716145323259109,2021,12
2021-12-19,46707.015625,25154053861,46848.777344,-0.003025942768134109,0.0,0.013995731574021118,0.02337815451894442,0.0,0.0,-0.006819020639872649,-0.005893275083111267,50098.335938,59697.195313,67566.828125,46202.144531,46202.144531,22803.082031,-0.06486360341432375,0.013995731574021118,47580.217076000015,52646.947135533344,56737.09710947993,54452.85660165998,-0.09623976954427445,-0.07208951783441143,0.04194895640700542,-0.1020696279484296,-0.06679384726184505,0.05208182376984277,2021,12
2021-12-18,46848.777344,26098292690,46202.144531,0.013995731574021118,1.0,-0.030699007215902834,0.019955054850961388,0.0,0.0,-0.00241023714422831,-0.008251460798837663,50098.335938,59697.195313,67566.828125,46202.144531,46202.144531,22803.082031,-0.07777087470174245,0.0,47939.321428714306,52983.392448033344,57044.68085947993,54448.283046969984,-0.09520098253931769,-0.07119486602880455,0.047685577344471174,-0.10495919070925339,-0.06310785173173014,0.05682266466542244,2021,12
